Age Group_Gender,years,Registered_total,Registered adults_Total,Registered 15-17y_Total,Registered 0-14y_Total,Total first time_Total,First time adults_Total,First time 15-17y_Total,First time 0-14y_Total,0-14y_males,0-14y_females,15-17y_males,15-17y_females,18-24y_males,18-24y_females,25-39y_males,25-39y_females,40-49y_males,40-49y_females,50-59y_males,50-59y_females,60-65y_males,60-65y_females,65+y_males,65+y_females,Total population_Total,Total population_male,Total population_female,Number of Marriages_Total,Total Births_Total,Boys_Total,Girls_Total,0-49 population_Total,Registered_0-49,prevalence_0_49
0,2012,5298.0,3828.0,322.0,1148.0,626.0,355.0,74.0,197.0,37.0,56.0,18.0,16.0,34.0,24.0,32.0,31.0,11.0,28.0,11.0,22.0,7.0,10.0,8.0,10.0,3021400.0,1448000.0,1573400.0,19063.0,42480.0,22600.0,19880.0,1812840,3178.8,0.001753
1,2013,5691.0,4148.0,341.0,1202.0,635.0,383.0,81.0,171.0,42.0,60.0,19.0,17.0,37.0,26.0,34.0,33.0,12.0,30.0,12.0,24.0,7.0,11.0,8.0,11.0,3026900.0,1450635.0,1576264.0,18363.0,41790.0,22100.0,19690.0,1816140,3414.6,0.00188
2,2014,5449.0,4116.0,294.0,1039.0,650.0,418.0,62.0,170.0,68.0,102.0,33.0,29.0,62.0,44.0,58.0,56.0,20.0,51.0,21.0,41.0,12.0,19.0,14.0,19.0,3017100.0,1445939.0,1571160.0,18912.0,43031.0,22700.0,20331.0,1810260,3269.4,0.001806
3,2015,5521.0,4203.0,295.0,1023.0,442.0,273.0,42.0,127.0,82.0,45.0,33.0,9.0,52.0,32.0,28.0,36.0,24.0,32.0,25.0,21.0,7.0,10.0,2.0,4.0,3010600.0,1439100.0,1571500.0,17603.0,41763.0,22000.0,19763.0,1806360,3312.6,0.001834
4,2016,5641.0,4327.0,316.0,998.0,469.0,286.0,52.0,131.0,86.0,45.0,44.0,8.0,30.0,29.0,60.0,36.0,28.0,31.0,28.0,20.0,14.0,5.0,3.0,2.0,2998600.0,1433363.0,1565236.0,16294.0,40592.0,21300.0,19292.0,1799160,3384.6,0.001881
5,2017,5996.0,4562.0,322.0,1112.0,426.0,251.0,38.0,137.0,84.0,53.0,27.0,11.0,33.0,27.0,39.0,35.0,28.0,29.0,22.0,14.0,12.0,9.0,2.0,1.0,2986100.0,1427388.0,1558711.0,15214.0,37700.0,19800.0,17900.0,1791660,3597.6,0.002008
6,2018,6128.0,4739.0,309.0,1080.0,537.0,311.0,57.0,169.0,82.0,87.0,41.0,16.0,57.0,21.0,47.0,35.0,32.0,23.0,29.0,23.0,13.0,12.0,10.0,9.0,2972700.0,1408200.0,1564500.0,14822.0,36502.0,19100.0,17402.0,1783620,3676.8,0.002061
7,2019,6407.0,5044.0,300.0,1063.0,498.0,281.0,46.0,171.0,100.0,71.0,29.0,17.0,28.0,12.0,45.0,32.0,25.0,15.0,39.0,17.0,40.0,8.0,17.0,3.0,2965300.0,1404694.0,1560605.0,15561.0,36041.0,18900.0,17141.0,1779180,3844.2,0.002161
8,2020,6322.0,4888.0,331.0,1103.0,411.0,236.0,39.0,136.0,77.0,59.0,25.0,14.0,35.0,19.0,37.0,35.0,28.0,27.0,22.0,17.0,5.0,3.0,2.0,6.0,2959700.0,1402041.0,1557658.0,12179.0,36353.0,19000.0,17353.0,1775820,3793.2,0.002136
9,2021,6818.0,5236.0,358.0,1224.0,713.0,534.0,34.0,145.0,85.0,60.0,26.0,8.0,36.0,24.0,79.0,53.0,71.0,29.0,69.0,39.0,64.0,20.0,41.0,9.0,2963300.0,1398000.0,1565300.0,17165.0,36585.0,19200.0,17385.0,1777980,4090.8,0.002301
10,2022,6702.0,5162.0,387.0,1153.0,498.0,313.0,39.0,146.0,87.0,59.0,24.0,15.0,47.0,18.0,49.0,39.0,34.0,28.0,25.0,28.0,15.0,12.0,9.0,9.0,2961000.0,1387400.0,1573600.0,16795.0,36623.0,19185.0,17438.0,1776600,4021.2,0.002263
11,2023,6971.0,5243.0,434.0,1294.0,697.0,455.0,58.0,184.0,93.0,91.0,39.0,19.0,74.0,24.0,62.0,62.0,53.0,37.0,33.0,32.0,25.0,20.0,22.0,11.0,2977000.0,1394896.0,1582103.0,16207.0,36265.0,19050.0,17215.0,1786200,4182.6,0.002342
12,2024,7394.0,5525.0,448.0,1421.0,590.0,377.0,47.0,166.0,83.0,83.0,31.0,16.0,57.0,32.0,57.0,43.0,43.0,43.0,34.0,27.0,15.0,15.0,5.0,6.0,3003700.0,1380800.0,1622900.0,15000.0,33600.0,17600.0,16000.0,1802220,4436.4,0.002462
