year,real_prev,model_prev,prevalence_pct_q25,prevalence_pct_q75,real_prev_per,turnover_rate,model_view
2012,0.001753,0.5384329743780171,0.5312506486796917,0.5583452458628713,0.1753,0.32557,0.19992
2013,0.00188,0.5475166210402815,0.544482731729999,0.5746123477872216,0.188,0.34337,0.20329
2014,0.001806,0.5676257584654532,0.5380501673683198,0.6079142345656671,0.1806,0.31817,0.21076
2015,0.001834,0.5697445972495089,0.5415262910201917,0.6106373529189302,0.1834,0.3219,0.21154
2016,0.001881,0.5731225296442688,0.5165785161159815,0.6145930739672636,0.1881,0.3282,0.2128
2017,0.002008,0.5742574257425742,0.5185209226668906,0.6188536827144717,0.2008,0.34967,0.21322
2018,0.002061,0.5601120224044809,0.5325812637274929,0.5831475448454007,0.2061,0.36796,0.20797
2019,0.002161,0.5442451118726063,0.5366209885381841,0.5778706195319003,0.2161,0.39706,0.20208
2020,0.002136,0.5295315682281059,0.5115087766130659,0.594458757532557,0.2136,0.40338,0.19661
2021,0.002301,0.5359719645433931,0.5171885341058273,0.6201716048115764,0.2301,0.42931,0.199
2022,0.002263,0.5594695399917116,0.5207470214519715,0.6146029156634991,0.2263,0.40449,0.20773
2023,0.002342,0.6036636136552873,0.5331270602467909,0.6385321435279803,0.2342,0.38796,0.22414
2024,0.002462,0.5473684210526315,0.5069499306074516,0.6041041636279998,0.2462,0.44979,0.20323
