;"Birth Rate"
"1950";30,2
"1951";31,39
"1952";32,58
"1953";33,77
"1954";34,96
"1955";36,15
"1956";37,34
"1957";38,53
"1958";39,71
"1959";38,73
"1960";41,2
"1961";39,9
"1962";37,67
"1963";35,06
"1964";32,22
"1965";29,82
"1966";27,7
"1967";26,31
"1968";25,34
"1969";24,37
"1970";23,31
"1971";23,08
"1972";22,81
"1973";22,58
"1974";22,61
"1975";22,94
"1976";23,1
"1977";23,69
"1978";24,07
"1979";25,06
"1980";25,42
"1981";25,95
"1982";26,49
"1983";27,05
"1984";27,14
"1985";26,99
"1986";26,52
"1987";25,83
"1988";25,13
"1989";24,31
"1990";24,59
"1991";23,28
"1992";22
"1993";18,3
"1994";15,79
"1995";14,8
"1996";14,49
"1997";13,22
"1998";12,61
"1999";11,44
"2000";10,6
"2001";10
"2002";10,1
"2003";11,3
"2004";11,8
"2005";11,9
"2006";12
"2007";12,9
"2008";13,3
"2009";14,5
"2010";14,7
"2011";14,3
"2012";14
"2013";13,8
"2014";14,3
"2015";13,9
"2016";13,5
"2017";12,6
"2018";12,3
"2019";12,2
"2020";12,3
"2021";12,4
"2022";12,3
"2023";12,3
"2024";12,02
"2025";11,71
