Year;Predicted_birth_rate
1950;30,2
1951;31,39
1952;32,58
1953;33,77
1954;34,96
1955;36,15
1956;37,34
1957;38,53
1958;39,71
1959;38,73
1960;41,2
1961;39,9
1962;37,67
1963;35,06
1964;32,22
1965;29,82
1966;27,7
1967;26,31
1968;25,34
1969;24,37
1970;23,31
1971;23,08
1972;22,81
1973;22,58
1974;22,61
1975;22,94
1976;23,1
1977;23,69
1978;24,07
1979;25,06
1980;25,42
1981;25,95
1982;26,49
1983;27,05
1984;27,14
1985;26,99
1986;26,52
1987;25,83
1988;25,13
1989;24,31
1990;24,59
1991;23,28
1992;22,0
1993;18,3
1994;15,79
1995;14,8
1996;14,49
1997;13,22
1998;12,61
1999;11,44
2000;10,6
2001;10,0
2002;10,1
2003;11,3
2004;11,8
2005;11,9
2006;12,0
2007;12,9
2008;13,3
2009;14,5
2010;14,7
2011;14,3
2012;14,0
2013;13,8
2014;14,3
2015;13,9
2016;13,5
2017;12,6
2018;12,3
2019;12,2
2020;12,3
2021;12,4
2022;12,3
2023;12,3
2024;12,02
2025;11,71
2026;11,637523997301297
2027;11,56915905118432
2028;11,50469936635977
2029;11,443946128015961
2030;11,386707699946538
2031;11,332799747970562
2032;11,282045298436216
2033;11,23427474074393
2034;11,189325781998388
2035;11,147043361109455
2036;11,107279528915244
2037;11,069893300199972
2038;11,034750482826864
2039;11,001723488603146
2040;10,97069112993964
2041;10,941538405860593
2042;10,914156280458569
2043;10,88844145647224
2044;10,864296146289355
2045;10,841627842340444
2046;10,820349088548166
2047;10,800377254229952
2048;10,78163431161487
2049;10,764046617927054
2050;10,747544702804745
2051;10,732063061663862
2052;10,717539955475573
2053;10,703917217306627
2054;10,69114006586704
2055;10,679156926220632
2056;10,66791925773778
2057;10,657381389305591
2058;10,647500361756553
2059;10,638235777431898
2060;10,629549656758908
2061;10,621406301691318
2062;10,613772165837988
2063;10,606615731086247
2064;10,599907390511996
2065;10,59361933735832
2066;10,587725459857236
2067;10,582201241664972
2068;10,577023667679299
2069;10,572171135007492
2070;10,567623368855415
2071;10,563361343111229
2072;10,559367205401644
2073;10,555624206403689
2074;10,552116633200974
2075;10,548829746479768
2076;10,54574972136711
2077;10,542863591720282
2078;10,540159197684254
2079;10,53762513634121
2080;10,53525071528362
2081;10,533025908949739
2082;10,53094131756783
2083;10,528988128562494
2084;10,527158080283632
2085;10,525443427925378
2086;10,523836911509045
2087;10,522331725810597
2088;10,520921492119296
2089;10,519600231720322
2090;10,518362340999746
2091;10,51720256807591
2092;10,51611599086642
2093;10,515097996505089
2094;10,514144262027896
2095;10,51325073625167
2096;10,51241362277352
2097;10,511629364023152
2098;10,510894626304184
2099;10,51020628576426
2100;10,509561415237272
2101;10,508957271904364
2102;10,508391285723553
2103;10,50786104858072
2104;10,507364304117615
2105;10,506898938195151
2106;10,506462969952741
2107;10,506054543426842
2108;10,505671919694066
2109;10,505313469506358
2110;10,50497766638767
2111;10,504663080163432
2112;10,504368370895966
2113;10,504092283200462
2114;10,503833640917863
2115;10,503591342122375
2116;10,503364354442677
2117;10,503151710677253
2118;10,502952504685467
2119;10,502765887537077
2120;10,502591063904038
2121;10,502427288679426
2122;10,50227386380919
2123;10,50213013532345
2124;10,501995490554759
2125;10,501869355531634
