;"Death Rate"
"1950";12,57
"1951";12,32
"1952";12,06
"1953";11,81
"1954";11,56
"1955";11,3
"1956";11,05
"1957";10,8
"1958";10,55
"1959";10,17
"1960";13,47
"1961";12,95
"1962";12,33
"1963";11,69
"1964";11,04
"1965";10,47
"1966";9,96
"1967";9,55
"1968";9,24
"1969";8,97
"1970";8,75
"1971";8,59
"1972";8,47
"1973";8,38
"1974";8,32
"1975";8,28
"1976";8,21
"1977";8,13
"1978";8,03
"1979";8,02
"1980";8
"1981";7,99
"1982";7,96
"1983";7,93
"1984";7,87
"1985";7,82
"1986";7,77
"1987";7,75
"1988";15,22
"1989";7,6
"1990";7,72
"1991";7,71
"1992";7,9
"1993";7,93
"1994";7,98
"1995";8,01
"1996";8,06
"1997";8,08
"1998";8,13
"1999";8,14
"2000";7,5
"2001";7,5
"2002";8
"2003";8,2
"2004";8,1
"2005";8,4
"2006";8,7
"2007";8,6
"2008";8,9
"2009";9
"2010";9,2
"2011";9,2
"2012";9,1
"2013";9
"2014";9,2
"2015";9,3
"2016";9,4
"2017";9,1
"2018";8,7
"2019";8,8
"2020";12,2
"2021";11,6
"2022";9
"2023";8,2
"2024";9,72
"2025";9,74
