Year;Predicted_death_rate
1950;12,57
1951;12,32
1952;12,06
1953;11,81
1954;11,56
1955;11,3
1956;11,05
1957;10,8
1958;10,55
1959;10,17
1960;13,47
1961;12,95
1962;12,33
1963;11,69
1964;11,04
1965;10,47
1966;9,96
1967;9,55
1968;9,24
1969;8,97
1970;8,75
1971;8,59
1972;8,47
1973;8,38
1974;8,32
1975;8,28
1976;8,21
1977;8,13
1978;8,03
1979;8,02
1980;8,0
1981;7,99
1982;7,96
1983;7,93
1984;7,87
1985;7,82
1986;7,77
1987;7,75
1988;15,22
1989;7,6
1990;7,72
1991;7,71
1992;7,9
1993;7,93
1994;7,98
1995;8,01
1996;8,06
1997;8,08
1998;8,13
1999;8,14
2000;7,5
2001;7,5
2002;8,0
2003;8,2
2004;8,1
2005;8,4
2006;8,7
2007;8,6
2008;8,9
2009;9,0
2010;9,2
2011;9,2
2012;9,1
2013;9,0
2014;9,2
2015;9,3
2016;9,4
2017;9,1
2018;8,7
2019;8,8
2020;12,2
2021;11,6
2022;9,0
2023;8,2
2024;9,72
2025;9,74
2026;9,728206667034462
2027;9,716905954567418
2028;9,706067251603884
2029;9,695661927274596
2030;9,685663202961237
2031;9,67604603266913
2032;9,666786991115565
2033;9,657864169036161
2034;9,64925707524382
2035;9,640946545004827
2036;9,632914654324662
2037;9,62514463976253
2038;9,617620823417992
2039;9,610328542756227
2040;9,60325408495987
2041;9,596384625515565
2042;9,58970817076212
2043;9,583213504144846
2044;9,576890135937036
2045;9,570728256205088
2046;9,56471869080802
2047;9,558852860235792
2048;9,553122741103337
2049;9,547520830129066
2050;9,542040110437659
2051;9,536674020037237
2052;9,53141642233076
2053;9,526261578530427
2054;9,521204121852412
2055;9,516239033377142
2056;9,511361619467692
2057;9,506567490645876
2058;9,501852541832003
2059;9,497212933860405
2060;9,492645076188461
2061;9,488145610722176
2062;9,483711396686306
2063;9,479339496471706
2064;9,475027162396868
2065;9,470771824324729
2066;9,466571078079587
2067;9,462422674612563
2068;9,458324509867301
2069;9,454274615300823
2070;9,450271149017238
2071;9,446312387474837
2072;9,442396717729556
2073;9,438522630180303
2074;9,434688711783693
2075;9,43089363970801
2076;9,427136175398033
2077;9,42341515902424
2078;9,419729504291626
2079;9,416078193584921
2080;9,412460273428538
2081;9,408874850240952
2082;9,405321086364518
2083;9,401798196352976
2084;9,398305443500032
2085;9,394842136593438
2086;9,391407626880074
2087;9,388001305228391
2088;9,3846225994755
2089;9,381270971946995
2090;9,377945917138366
2091;9,374646959547587
2092;9,371373651649126
2093;9,368125572000231
2094;9,364902323471004
2095;9,36170353159022
2096;9,358528842999469
2097;9,355377924008616
2098;9,352250459246001
2099;9,349146150397342
2100;9,346064715027534
2101;9,343005885480048
2102;9,339969407848882
2103;9,336955041018399
2104;9,333962555766663
2105;9,330991733928155
2106;9,32804236761205
2107;9,325114258472446
2108;9,322207217027215
2109;9,319321062022272
2110;9,316455619838397
2111;9,313610723937794
2112;9,310786214347853
2113;9,307981937179676
2114;9,305197744179143
2115;9,302433492308378
2116;9,299689043355672
2117;9,296964263571986
2118;9,29425902333234
2119;9,291573196820439
2120;9,28890666173504
2121;9,28625929901667
2122;9,283630992593295
2123;9,281021629143808
2124;9,278431097878084
2125;9,275859290332562
