;"Fertility Rate"
"1950";4,25
"1951";4,33
"1952";4,41
"1953";4,49
"1954";4,58
"1955";4,66
"1956";4,74
"1957";4,82
"1958";4,9
"1959";4,81
"1960";4,79
"1961";4,67
"1962";4,52
"1963";4,35
"1964";4,15
"1965";3,99
"1966";3,83
"1967";3,73
"1968";3,62
"1969";3,49
"1970";3,33
"1971";3,29
"1972";3,2
"1973";3,08
"1974";2,98
"1975";2,92
"1976";2,84
"1977";2,74
"1978";2,62
"1979";2,53
"1980";2,48
"1981";2,48
"1982";2,5
"1983";2,56
"1984";2,6
"1985";2,64
"1986";2,66
"1987";2,66
"1988";2,68
"1989";2,71
"1990";2,71
"1991";2,64
"1992";2,5
"1993";2,29
"1994";2,08
"1995";2,07
"1996";2,06
"1997";1,9
"1998";1,81
"1999";1,53
"2000";1,3
"2001";1,2
"2002";1,2
"2003";1,3
"2004";1,4
"2005";1,3
"2006";1,3
"2007";1,4
"2008";1,4
"2009";1,5
"2010";1,5
"2011";1,5
"2012";1,6
"2013";1,6
"2014";1,7
"2015";1,6
"2016";1,6
"2017";1,6
"2018";1,6
"2019";1,6
"2020";1,7
"2021";1,7
"2022";1,7
"2023";1,9
"2024";1,76
"2025";1,76
