Year;Predicted_fertility_rate
1950;4,25
1951;4,33
1952;4,41
1953;4,49
1954;4,58
1955;4,66
1956;4,74
1957;4,82
1958;4,9
1959;4,81
1960;4,79
1961;4,67
1962;4,52
1963;4,35
1964;4,15
1965;3,99
1966;3,83
1967;3,73
1968;3,62
1969;3,49
1970;3,33
1971;3,29
1972;3,2
1973;3,08
1974;2,98
1975;2,92
1976;2,84
1977;2,74
1978;2,62
1979;2,53
1980;2,48
1981;2,48
1982;2,5
1983;2,56
1984;2,6
1985;2,64
1986;2,66
1987;2,66
1988;2,68
1989;2,71
1990;2,71
1991;2,64
1992;2,5
1993;2,29
1994;2,08
1995;2,07
1996;2,06
1997;1,9
1998;1,81
1999;1,53
2000;1,3
2001;1,2
2002;1,2
2003;1,3
2004;1,4
2005;1,3
2006;1,3
2007;1,4
2008;1,4
2009;1,5
2010;1,5
2011;1,5
2012;1,6
2013;1,6
2014;1,7
2015;1,6
2016;1,6
2017;1,6
2018;1,6
2019;1,6
2020;1,7
2021;1,7
2022;1,7
2023;1,9
2024;1,76
2025;1,76
2026;1,7524664679753645
2027;1,7454601739988553
2028;1,7389432680839518
2029;1,7328806897008093
2030;1,7272399580226527
2031;1,7219909779383833
2032;1,7171058607096514
2033;1,7125587582138901
2034;1,7083257097781275
2035;1,7043845006708664
2036;1,7007145313802128
2037;1,6972966968652086
2038;1,6941132750236474
2039;1,6911478236732573
2040;1,6883850853938884
2041;1,685810899626208
2042;1,6834121214673357
2043;1,6811765466459319
2044;1,6790928421985327
2045;1,6771504824055143
2046;1,675339689579083
2047;1,6736513793272605
2048;1,6720771099470755
2049;1,6706090356272574
2050;1,6692398631657464
2051;1,6679628119304628
2052;1,6667715768131028
2053;1,665660293945421
2054;1,6646235089655879
2055;1,6636561476389367
2056;1,6627534886527975
2057;1,6619111384192982
2058;1,66112500773306
2059;1,6603912901427207
2060;1,6597064419062746
2061;1,6590671634103802
2062;1,658470381943154
2063;1,6579132357185682
2064;1,657393059058496
2065;1,6569073686457383
2066;1,6564538507680724
2067;1,6560303494795356
2068;1,655634855610845
2069;1,655265496566074
2070;1,6549205268475415
2071;1,6545983192552831
2072;1,6542973567115795
2073;1,654016224664764
2074;1,6537536040300123
2075;1,6535082646280013
2076;1,6532790590852815
2077;1,653064917162912
2078;1,6528648404824218
2079;1,652677897620466
2080;1,6525032195456775
2081;1,6523399953731852
2082;1,6521874684140834
2083;1,6520449324988136
2084;1,65191172855497
2085;1,6517872414214705
2086;1,6516708968823535
2087;1,651562158904688
2088;1,6514605270662104
2089;1,6513655341593436
2090;1,6512767439592262
2091;1,6511937491442645
2092;1,6511161693585596
2093;1,651043649406308
2094;1,6509758575690054
2095;1,6509124840369205
2096;1,6508532394469217
2097;1,6507978535193069
2098;1,6507460737867934
2099;1,6506976644093294
2100;1,650652405068815
2101;1,6506100899382536
2102;1,6505705267202326
2103;1,6505335357499846
2104;1,650498949158626
2105;1,6504666100924663
2106;1,6504363719845692
2107;1,6504080978750162
2108;1,6503816597765668
2109;1,650356938082638
2110;1,65033382101474
2111;1,6503122041067009
2112;1,6502919897231982
2113;1,6502730866102855
2114;1,6502554094757584
2115;1,6502388785973578
2116;1,6502234194569387
2117;1,6502089623988614
2118;1,650195442310989
2119;1,6501827983267718
2120;1,6501709735470127
2121;1,6501599147800017
2122;1,6501495722987876
2123;1,6501398996144552
2124;1,6501308532643315
2125;1,6501223926141384
