Year;Predicted_fertility_rate
1950;42.5
1951;43.3
1952;44.1
1953;44.9
1954;45.8
1955;46.6
1956;47.4
1957;48.2
1958;4.9
1959;48.1
1960;47.9
1961;46.7
1962;45.2
1963;43.5
1964;41.5
1965;39.9
1966;38.3
1967;37.3
1968;36.2
1969;34.9
1970;33.3
1971;32.9
1972;3.2
1973;30.8
1974;29.8
1975;29.2
1976;28.4
1977;27.4
1978;26.2
1979;25.3
1980;24.8
1981;24.8
1982;2.5
1983;25.6
1984;2.6
1985;26.4
1986;26.6
1987;26.6
1988;26.8
1989;27.1
1990;27.1
1991;26.4
1992;2.5
1993;22.9
1994;20.8
1995;20.7
1996;20.6
1997;1.9
1998;18.1
1999;15.3
2000;1.3
2001;1.2
2002;1.2
2003;1.3
2004;1.4
2005;1.3
2006;1.3
2007;1.4
2008;1.4
2009;1.5
2010;1.5
2011;1.5
2012;1.6
2013;1.6
2014;1.7
2015;1.6
2016;1.6
2017;1.6
2018;1.6
2019;1.6
2020;1.7
2021;1.7
2022;1.7
2023;1.9
2024;17.6
2025;17.6
2026;17.524664679753645
2027;17.454601739988554
2028;17.38943268083952
2029;17.328806897008093
2030;17.272399580226526
2031;17.219909779383833
2032;17.171058607096516
2033;17.125587582138902
2034;17.083257097781274
2035;17.043845006708665
2036;17.007145313802127
2037;16.972966968652084
2038;16.941132750236473
2039;16.911478236732574
2040;16.883850853938885
2041;16.85810899626208
2042;16.834121214673356
2043;16.81176546645932
2044;16.790928421985328
2045;16.771504824055143
2046;16.75339689579083
2047;16.736513793272604
2048;16.720771099470756
2049;16.706090356272576
2050;16.692398631657465
2051;16.679628119304628
2052;16.66771576813103
2053;16.65660293945421
2054;16.646235089655878
2055;16.636561476389367
2056;16.627534886527975
2057;16.619111384192983
2058;16.6112500773306
2059;16.603912901427208
2060;16.597064419062747
2061;16.590671634103803
2062;16.58470381943154
2063;16.57913235718568
2064;16.57393059058496
2065;16.569073686457383
2066;16.564538507680723
2067;16.560303494795356
2068;16.55634855610845
2069;16.55265496566074
2070;16.549205268475415
2071;16.545983192552832
2072;16.542973567115794
2073;16.54016224664764
2074;16.53753604030012
2075;16.535082646280014
2076;16.532790590852816
2077;16.53064917162912
2078;16.528648404824217
2079;16.52677897620466
2080;16.525032195456774
2081;16.52339995373185
2082;16.521874684140833
2083;16.520449324988135
2084;16.5191172855497
2085;16.517872414214704
2086;16.516708968823536
2087;16.51562158904688
2088;16.514605270662106
2089;16.513655341593434
2090;16.512767439592263
2091;16.511937491442644
2092;16.511161693585596
2093;16.51043649406308
2094;16.509758575690054
2095;16.509124840369203
2096;16.508532394469217
2097;16.507978535193068
2098;16.507460737867934
2099;16.506976644093292
2100;16.50652405068815
2101;16.506100899382535
2102;16.505705267202327
2103;16.505335357499845
2104;16.50498949158626
2105;16.504666100924663
2106;16.504363719845692
2107;16.504080978750164
2108;16.503816597765667
2109;16.50356938082638
2110;16.5033382101474
2111;16.50312204106701
2112;16.502919897231983
2113;16.502730866102855
2114;16.502554094757585
2115;16.50238878597358
2116;16.502234194569386
2117;16.502089623988613
2118;16.50195442310989
2119;16.501827983267717
2120;16.501709735470126
2121;16.501599147800018
2122;16.501495722987876
2123;16.50139899614455
2124;16.501308532643314
2125;16.501223926141385
