,years_for_full,full_population_mean,full_population_ci_low,full_population_ci_high,target_agents_mean,target_agents_ci_low,target_agents_ci_high,total_affected_mean,total_affected_ci_low,total_affected_ci_high,m694v_homozigotes_mean,m694v_homozigotes_ci_low,m694v_homozigotes_ci_high,compound_mean,compound_ci_low,compound_ci_high,n_allele_mean,n_allele_ci_low,n_allele_ci_high,carrier_births_mean,carrier_births_ci_low,carrier_births_ci_high,affected_births_mean,affected_births_ci_low,affected_births_ci_high,normal_births_mean,normal_births_ci_low,normal_births_ci_high
0,1950,50301.08,50280.530536432634,50321.62946356737,42235.36,42194.542263928204,42276.1777360718,195.68,190.531849409092,200.82815059090802,25.12,23.172058426611997,27.067941573388005,119.24,115.43894731773771,123.04105268226228,46.36,43.730676254243306,48.98932374575669,207.2,201.61715293659825,212.78284706340173,10.08,9.049554348837358,11.110445651162642,998.72,984.346138070326,1013.0938619296741
1,1975,69811.88,69689.6703551145,69934.0896448855,55012.48,54894.134236991886,55130.82576300812,274.92,268.5871270679625,281.2528729320375,34.48,31.79468078123537,37.16531921876462,165.72,160.03766737099397,171.40233262900603,67.96,64.56050632789724,71.35949367210274,5773.6,5730.047994366888,5817.152005633113,302.64,295.8306993486849,309.44930065131507,27770.64,27663.790880886365,27877.489119113634
2,2000,80908.92,80660.74744182946,81157.09255817054,59784.12,59558.71007750536,60009.52992249464,310.84,302.33058977993574,319.3494102200642,39.12,37.208556119927486,41.03144388007251,187.0,180.95675495559988,193.04324504440012,77.8,74.10361113156817,81.49638886843182,10894.24,10818.076720158859,10970.40327984114,561.88,552.1315397947504,571.6284602052496,52641.96,52444.6548212948,52839.2651787052
3,2012,78402.52,78140.53998601298,78664.50001398702,53134.6,52927.75439839983,53341.445601600164,282.76,275.49716629039784,290.02283370960214,36.92,34.99986678239937,38.84013321760063,167.32,161.11912663355662,173.52087336644337,71.84,68.45712100521858,75.22287899478142,12503.84,12410.258419827262,12597.421580172739,644.4,633.8572160539384,654.9427839460616,60411.6,60188.267567997835,60634.93243200216
4,2013,78292.72,78029.2782206,78556.1617794,52759.88,52553.8730185737,52965.886981426294,279.8,272.87682423546346,286.72317576453656,36.8,34.8043901516913,38.79560984830869,165.52,159.5116914770739,171.52830852292612,70.92,67.61129397296567,74.22870602703433,12659.2,12564.210073937636,12754.189926062365,653.16,642.4702527176738,663.8497472823261,61184.08,60960.74602218298,61407.41397781702
5,2014,78197.2,77931.07871887677,78463.32128112322,52459.8,52255.29994558436,52664.300054415646,278.0,270.88256375745686,285.11743624254314,37.04,35.030068021051456,39.04993197894854,164.2,158.03611940414157,170.3638805958584,70.32,67.00394875793512,73.63605124206487,12824.24,12726.727601409735,12921.752398590264,661.04,650.3443845793397,671.7356154206602,61989.6,61760.42785735318,62218.77214264682
6,2015,78037.36,77772.53046789172,78302.18953210828,52113.2,51909.66279990134,52316.73720009865,276.56,269.6701237243813,283.4498762756187,36.96,35.092060700486584,38.82793929951342,163.2,157.14299744097792,169.25700255902206,70.2,67.05584393941183,73.34415606058818,12975.92,12877.57141850418,13074.26858149582,669.0,657.9937084659122,680.0062915340878,62750.4,62517.5897842104,62983.2102157896
7,2016,77796.0,77531.14723233716,78060.85276766284,51741.4,51542.4948260368,51940.30517396321,274.16,267.1919496059993,281.12805039400075,36.88,34.83269892134385,38.92730107865616,161.6,155.41434433548068,167.7856556645193,69.6,66.67528417334835,72.52471582665164,13126.12,13027.973806803117,13224.266193196885,676.24,665.0552386334501,687.4247613665499,63492.28,63257.87862616421,63726.68137383579
8,2017,77570.6,77300.1379199173,77841.06208008272,51385.52,51180.677427795614,51590.36257220438,272.8,266.2513313312297,279.3486686687703,36.84,34.924006012535536,38.75599398746447,160.44,154.4200234419061,166.4599765580939,69.4,66.63507974798549,72.16492025201453,13279.6,13180.106878549319,13379.093121450682,684.16,673.2087144912877,695.1112855087123,64223.32,63981.56660698726,64465.07339301274
9,2018,77374.84,77105.69177803864,77643.98822196135,51026.44,50821.36672952879,51231.513270471216,271.68,266.03247843386146,277.32752156613856,36.88,34.870577767947545,38.88942223205246,159.88,154.27732477233718,165.4826752276628,68.76,66.19626805353342,71.3237319464666,13425.28,13325.80383568526,13524.756164314742,691.64,680.5399378067808,702.7400621932192,64951.96,64709.0415166579,65194.8784833421
10,2019,77124.24,76860.5609569366,77387.9190430634,50635.92,50429.24251762168,50842.59748237832,269.24,263.05405451904613,275.4259454809539,36.76,34.50449499520248,39.01550500479752,158.32,152.2791710414326,164.3608289585674,68.16,65.72854646490349,70.5914535350965,13572.92,13472.796677111473,13673.043322888527,699.16,687.8356317780342,710.4843682219657,65648.68,65403.280701769865,65894.07929823012
