Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1950;5084.3 ± 6.3;4270.0 ± 3.1;17.3 ± 1.4;1.3 ± 0.2;7.7 ± 0.5;5.0 ± 0.4;0.0 ± 0.0;107 ± 24;4 ± 1;448 ± 129
1951;5165.3 ± 11.5;4324.3 ± 10.1;17.7 ± 1.5;1.3 ± 0.2;8.0 ± 0.7;5.0 ± 0.4;0.0 ± 0.0;161 ± 28;8 ± 1;747 ± 150
1952;5245.7 ± 7.6;4372.7 ± 8.8;17.7 ± 1.5;1.0 ± 0.0;8.0 ± 0.7;5.3 ± 0.5;0.0 ± 0.0;216 ± 31;10 ± 1;1055 ± 165
1953;5343.3 ± 10.8;4446.7 ± 10.2;18.0 ± 1.6;1.0 ± 0.0;8.3 ± 0.7;5.3 ± 0.5;0.0 ± 0.0;294 ± 27;13 ± 1;1473 ± 143
1954;5443.0 ± 10.8;4521.0 ± 12.4;18.0 ± 1.6;1.0 ± 0.0;8.3 ± 0.7;5.3 ± 0.5;0.0 ± 0.0;345 ± 26;16 ± 1;1739 ± 147
1955;5534.3 ± 13.8;4586.0 ± 9.7;19.0 ± 0.9;0.7 ± 0.2;9.7 ± 0.2;5.3 ± 0.5;0.0 ± 0.0;406 ± 26;20 ± 2;2106 ± 155
1956;5624.0 ± 10.2;4645.3 ± 9.7;19.0 ± 1.2;0.7 ± 0.2;9.3 ± 0.2;5.7 ± 0.5;0.0 ± 0.0;492 ± 37;27 ± 3;2682 ± 243
1957;5712.3 ± 13.2;4700.3 ± 11.6;21.0 ± 0.6;0.7 ± 0.2;11.7 ± 0.4;5.7 ± 0.5;0.0 ± 0.0;590 ± 62;34 ± 4;3230 ± 356
1958;5819.7 ± 4.7;4783.7 ± 6.2;21.7 ± 0.8;0.7 ± 0.2;12.3 ± 0.2;5.7 ± 0.5;0.0 ± 0.0;636 ± 67;37 ± 3;3502 ± 358
1959;5908.3 ± 2.7;4839.3 ± 11.0;21.3 ± 0.7;0.7 ± 0.2;12.0 ± 0.4;5.7 ± 0.5;0.0 ± 0.0;679 ± 62;40 ± 2;3773 ± 330
1960;5998.0 ± 3.5;4898.3 ± 15.6;21.3 ± 1.1;1.0 ± 0.4;12.0 ± 0.6;5.3 ± 0.7;0.0 ± 0.0;722 ± 66;41 ± 2;4019 ± 349
1961;6081.7 ± 2.0;4950.7 ± 13.3;21.3 ± 1.1;1.0 ± 0.4;12.3 ± 0.7;5.0 ± 0.9;0.0 ± 0.0;771 ± 74;44 ± 3;4260 ± 405
1962;6163.0 ± 1.9;5000.0 ± 10.4;22.0 ± 0.9;1.3 ± 0.5;11.7 ± 0.9;6.3 ± 1.1;0.0 ± 0.0;807 ± 72;45 ± 3;4494 ± 386
1963;6236.7 ± 4.6;5038.3 ± 16.4;21.3 ± 1.0;1.3 ± 0.5;11.3 ± 0.9;6.0 ± 1.3;0.0 ± 0.0;892 ± 80;48 ± 3;4912 ± 417
1964;6298.7 ± 3.0;5066.3 ± 14.9;21.3 ± 1.0;1.3 ± 0.5;12.0 ± 0.7;5.3 ± 1.1;0.0 ± 0.0;942 ± 75;50 ± 3;5179 ± 407
1965;6374.3 ± 2.6;5093.3 ± 16.5;21.7 ± 0.2;1.0 ± 0.6;12.0 ± 1.1;5.7 ± 0.9;0.3 ± 0.2;993 ± 73;52 ± 3;5454 ± 384
1966;6454.3 ± 8.1;5145.7 ± 20.9;22.7 ± 0.5;1.3 ± 0.5;12.3 ± 0.7;6.0 ± 0.9;0.3 ± 0.2;1083 ± 78;55 ± 3;5907 ± 394
