year,real_prev,model_prev,prevalence_pct_q25,prevalence_pct_q75,real_prev_per,turnover_rate,model_view
2012,0.001753,0.61931488291078,0.5687727477666985,0.7777345805679157,0.1753,0.28305,0.21109
2013,0.00188,0.6468051744413955,0.5758806122814795,0.756874128871659,0.188,0.29066,0.22046
2014,0.001806,0.6314127861089187,0.5691799191528446,0.7619654131835896,0.1806,0.28603,0.21522
2015,0.001834,0.6611901422560609,0.576341762999486,0.7808729021301382,0.1834,0.27738,0.22537
2016,0.001881,0.6434747637241102,0.5598326199572932,0.7559326732553395,0.1881,0.29232,0.21933
2017,0.002008,0.586213866990095,0.5229039461338832,0.7316179449937807,0.2008,0.34254,0.19981
2018,0.002061,0.5687588868576071,0.516263501399818,0.7161753217408742,0.2061,0.36237,0.19386
2019,0.002161,0.6160164271047228,0.550585353082732,0.725254388795755,0.2161,0.3508,0.20997
2020,0.002136,0.5991735537190083,0.5143466362894143,0.7096687932627848,0.2136,0.35649,0.20423
2021,0.002301,0.5826050769870994,0.5077953548682791,0.6954245833510967,0.2301,0.39495,0.19858
2022,0.002263,0.5871251834766198,0.5023101066488467,0.6901458742276326,0.2263,0.38544,0.20012
2023,0.002342,0.5902192242833052,0.4944716536089572,0.6853334774117286,0.2342,0.3968,0.20118
2024,0.002462,0.5972696245733788,0.5003697326013958,0.6596084096464254,0.2462,0.41221,0.20358
