Year;Real_Prevalence_%;Model_Prevalence_%;Absolute_Difference_%;Relative_Difference_%;Model_Q25_%;Model_Q75_%
2012;0,1753;0,5452925409213591;0,36999254092135914;211,06248769045015;0,5204903184327254;0,5745815264913323
2013;0,188;0,5419987972195783;0,35399879721957833;188,2972325636055;0,5187723633489807;0,5770002440899732
2014;0,1806;0,5389402657366615;0,35834026573666156;198,41653695274726;0,5192212124753236;0,570567698419677
2015;0,1834;0,5373781741658459;0,35397817416584587;193,0088190653467;0,5117432005543716;0,5703304851186777
2016;0,1881;0,5382858063765528;0,3501858063765528;186,17001933894355;0,5096770717648911;0,5710366703821931
2017;0,2008;0,5328318929845226;0,3320318929845226;165,35452837874632;0,5057342394475945;0,5614168680538584
2018;0,2061;0,5334698320531464;0,32736983205314635;158,84028726499096;0,5109145499230896;0,557684864208964
2019;0,2161;0,5313631796187323;0,3152631796187323;145,88763517757164;0,5178401190480725;0,5582799596112876
2020;0,2136;0,5291673084254739;0,31556730842547387;147,73750394451025;0,5073272622237285;0,5520409420629986
2021;0,2301;0,5213444862403485;0,2912444862403485;126,57300575417145;0,508985110372667;0,5463220040174228
2022;0,2263;0,5177227108741784;0,2914227108741784;128,77715902526666;0,5040336101851637;0,544801472180282
2023;0,2342;0,513094197003036;0,2788941970030361;119,08377327200516;0,5011654726938268;0,5409939885229174
2024;0,2462;0,5163874949401059;0,27018749494010597;109,74309298948253;0,4976299537220769;0,5378532294354685
