==============================================================================================================
 Медианный анализ по годам
 Сценарий: scenario_2 | Дата: 2026-05-20 15:46
==============================================================================================================

══════════════════════════════════════════════════════════════════════════════════════════════════════════════
Динамика медианных показателей (Калибровка 1950-2125)
══════════════════════════════════════════════════════════════════════════════════════════════════════════════

🔹 Метрика: PREVALENCE TOTAL PCT
--------------------------------------------------------------------------------------------------------------
Год    |      Медиана |   Δ к прошл. |     IQR (75-25) |            [Min - Max] | N runs
--------------------------------------------------------------------------------------------------------------
1950   |        0.29% |            - |        0.06% |            [0.0 - 0.0] |      2
1951   |        0.35% |       +0.05% |        0.00% |            [0.0 - 0.0] |      2
1952   |        0.40% |       +0.05% |        0.05% |            [0.0 - 0.0] |      2
1953   |        0.39% |       -0.01% |        0.05% |            [0.0 - 0.0] |      2
1954   |        0.44% |       +0.05% |        0.00% |            [0.0 - 0.0] |      2
1955   |        0.43% |       -0.01% |        0.00% |            [0.0 - 0.0] |      2
1956   |        0.42% |       -0.01% |        0.01% |            [0.0 - 0.0] |      2
1957   |        0.42% |       -0.00% |        0.01% |            [0.0 - 0.0] |      2
1958   |        0.41% |       -0.01% |        0.00% |            [0.0 - 0.0] |      2
1959   |        0.46% |       +0.05% |        0.05% |            [0.0 - 0.0] |      2
1960   |        0.51% |       +0.05% |        0.11% |            [0.0 - 0.0] |      2
1961   |        0.55% |       +0.04% |        0.05% |            [0.0 - 0.0] |      2
1962   |        0.49% |       -0.05% |        0.10% |            [0.0 - 0.0] |      2
1963   |        0.49% |       -0.00% |        0.10% |            [0.0 - 0.0] |      2
1964   |        0.48% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
1965   |        0.48% |       -0.00% |        0.09% |            [0.0 - 0.0] |      2
1966   |        0.52% |       +0.04% |        0.14% |            [0.0 - 0.0] |      2
1967   |        0.47% |       -0.05% |        0.09% |            [0.0 - 0.0] |      2
1968   |        0.47% |       -0.00% |        0.09% |            [0.0 - 0.0] |      2
1969   |        0.46% |       -0.01% |        0.09% |            [0.0 - 0.0] |      2
1970   |        0.41% |       -0.05% |        0.04% |            [0.0 - 0.0] |      2
1971   |        0.41% |       -0.00% |        0.04% |            [0.0 - 0.0] |      2
1972   |        0.40% |       -0.01% |        0.04% |            [0.0 - 0.0] |      2
1973   |        0.40% |       -0.00% |        0.04% |            [0.0 - 0.0] |      2
1974   |        0.40% |       -0.00% |        0.04% |            [0.0 - 0.0] |      2
1975   |        0.40% |       -0.00% |        0.04% |            [0.0 - 0.0] |      2
1976   |        0.39% |       -0.01% |        0.04% |            [0.0 - 0.0] |      2
1977   |        0.39% |       -0.00% |        0.04% |            [0.0 - 0.0] |      2
1978   |        0.47% |       +0.08% |        0.05% |            [0.0 - 0.0] |      2
1979   |        0.47% |       -0.00% |        0.05% |            [0.0 - 0.0] |      2
1980   |        0.47% |       -0.00% |        0.05% |            [0.0 - 0.0] |      2
1981   |        0.46% |       -0.01% |        0.04% |            [0.0 - 0.0] |      2
1982   |        0.46% |       -0.01% |        0.04% |            [0.0 - 0.0] |      2
1983   |        0.46% |       -0.00% |        0.04% |            [0.0 - 0.0] |      2
1984   |        0.49% |       +0.04% |        0.01% |            [0.0 - 0.0] |      2
1985   |        0.53% |       +0.04% |        0.05% |            [0.0 - 0.0] |      2
1986   |        0.53% |       -0.00% |        0.05% |            [0.0 - 0.0] |      2
1987   |        0.52% |       -0.00% |        0.05% |            [0.0 - 0.0] |      2
1988   |        0.52% |       -0.00% |        0.05% |            [0.0 - 0.0] |      2
1989   |        0.52% |       -0.00% |        0.05% |            [0.0 - 0.0] |      2
1990   |        0.47% |       -0.05% |        0.01% |            [0.0 - 0.0] |      2
1991   |        0.47% |       -0.00% |        0.01% |            [0.0 - 0.0] |      2
1992   |        0.55% |       +0.08% |        0.01% |            [0.0 - 0.0] |      2
1993   |        0.55% |       -0.00% |        0.01% |            [0.0 - 0.0] |      2
1994   |        0.59% |       +0.04% |        0.03% |            [0.0 - 0.0] |      2
1995   |        0.60% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
1996   |        0.67% |       +0.08% |        0.05% |            [0.0 - 0.0] |      2
1997   |        0.64% |       -0.04% |        0.09% |            [0.0 - 0.0] |      2
1998   |        0.64% |       +0.00% |        0.09% |            [0.0 - 0.0] |      2
1999   |        0.65% |       +0.00% |        0.09% |            [0.0 - 0.0] |      2
2000   |        0.61% |       -0.03% |        0.14% |            [0.0 - 0.0] |      2
2001   |        0.58% |       -0.04% |        0.10% |            [0.0 - 0.0] |      2
2002   |        0.62% |       +0.05% |        0.05% |            [0.0 - 0.0] |      2
2003   |        0.75% |       +0.13% |        0.02% |            [0.0 - 0.0] |      2
2004   |        0.72% |       -0.03% |        0.02% |            [0.0 - 0.0] |      2
2005   |        0.72% |       +0.00% |        0.03% |            [0.0 - 0.0] |      2
2006   |        0.69% |       -0.03% |        0.01% |            [0.0 - 0.0] |      2
2007   |        0.70% |       +0.01% |        0.01% |            [0.0 - 0.0] |      2
2008   |        0.70% |       +0.00% |        0.02% |            [0.0 - 0.0] |      2
2009   |        0.67% |       -0.03% |        0.06% |            [0.0 - 0.0] |      2
2010   |        0.67% |       +0.00% |        0.06% |            [0.0 - 0.0] |      2
2011   |        0.68% |       +0.01% |        0.03% |            [0.0 - 0.0] |      2
2012   |        0.68% |       +0.01% |        0.03% |            [0.0 - 0.0] |      2
2013   |        0.73% |       +0.05% |        0.07% |            [0.0 - 0.0] |      2
2014   |        0.78% |       +0.05% |        0.12% |            [0.0 - 0.0] |      2
2015   |        0.79% |       +0.00% |        0.22% |            [0.0 - 0.0] |      2
2016   |        0.79% |       +0.00% |        0.22% |            [0.0 - 0.0] |      2
2017   |        0.80% |       +0.01% |        0.23% |            [0.0 - 0.0] |      2
2018   |        0.80% |       +0.01% |        0.23% |            [0.0 - 0.0] |      2
2019   |        0.76% |       -0.04% |        0.27% |            [0.0 - 0.0] |      2
2020   |        0.73% |       -0.04% |        0.23% |            [0.0 - 0.0] |      2
2021   |        0.73% |       +0.01% |        0.24% |            [0.0 - 0.0] |      2
2022   |        0.64% |       -0.09% |        0.24% |            [0.0 - 0.0] |      2
2023   |        0.70% |       +0.05% |        0.20% |            [0.0 - 0.0] |      2
2024   |        0.71% |       +0.01% |        0.20% |            [0.0 - 0.0] |      2
2025   |        0.66% |       -0.05% |        0.16% |            [0.0 - 0.0] |      2
2026   |        0.57% |       -0.09% |        0.16% |            [0.0 - 0.0] |      2
2027   |        0.53% |       -0.05% |        0.22% |            [0.0 - 0.0] |      2
2028   |        0.54% |       +0.01% |        0.22% |            [0.0 - 0.0] |      2
2029   |        0.49% |       -0.05% |        0.27% |            [0.0 - 0.0] |      2
