year,n_runs,total_population_median,total_population_ci_low,total_population_ci_high,total_population_q25,total_population_q75,total_affected_median,total_affected_ci_low,total_affected_ci_high,total_affected_q25,total_affected_q75,prevalence_total_pct_median,prevalence_total_pct_ci_low,prevalence_total_pct_ci_high,prevalence_total_pct_q25,prevalence_total_pct_q75,on_colchicine_median,on_colchicine_ci_low,on_colchicine_ci_high,on_colchicine_q25,on_colchicine_q75,diagnosed_median,diagnosed_ci_low,diagnosed_ci_high,diagnosed_q25,diagnosed_q75,undiagnosed_symptomatic_median,undiagnosed_symptomatic_ci_low,undiagnosed_symptomatic_ci_high,undiagnosed_symptomatic_q25,undiagnosed_symptomatic_q75,prevented_births_total_median,prevented_births_total_ci_low,prevented_births_total_ci_high,prevented_births_total_q25,prevented_births_total_q75,m694v_homo_in_affected_pct_median,m694v_homo_in_affected_pct_ci_low,m694v_homo_in_affected_pct_ci_high,m694v_homo_in_affected_pct_q25,m694v_homo_in_affected_pct_q75,compound_in_affected_pct_median,compound_in_affected_pct_ci_low,compound_in_affected_pct_ci_high,compound_in_affected_pct_q25,compound_in_affected_pct_q75,hetero_in_affected_pct_median,hetero_in_affected_pct_ci_low,hetero_in_affected_pct_ci_high,hetero_in_affected_pct_q25,hetero_in_affected_pct_q75,other_homo_in_affected_pct_median,other_homo_in_affected_pct_ci_low,other_homo_in_affected_pct_ci_high,other_homo_in_affected_pct_q25,other_homo_in_affected_pct_q75,m694v_homo_absolute_median,m694v_homo_absolute_ci_low,m694v_homo_absolute_ci_high,m694v_homo_absolute_q25,m694v_homo_absolute_q75,m694v_homo_prevalence_pct_median,m694v_homo_prevalence_pct_ci_low,m694v_homo_prevalence_pct_ci_high,m694v_homo_prevalence_pct_q25,m694v_homo_prevalence_pct_q75,total_carriers_absolute_median,total_carriers_absolute_ci_low,total_carriers_absolute_ci_high,total_carriers_absolute_q25,total_carriers_absolute_q75
1950,5,30436.0,30396.1,30458.3,30424.0,30443.0,131.0,112.2,142.3,123.0,136.0,0.5180527543797208,0.4424337393576184,0.562684670552628,0.4827315541601256,0.5425026925685109,38.0,26.6,42.0,32.0,42.0,38.0,26.6,42.0,32.0,42.0,93.0,85.6,100.3,91.0,94.0,0.0,0.0,0.0,0.0,0.0,9.923664122137405,7.014427014427015,11.273314203730271,7.207207207207207,10.294117647058822,45.52845528455284,39.9917729329494,50.214565710748914,41.17647058823529,48.091603053435115,25.735294117647058,22.560346606148133,30.537836147592245,22.900763358778626,28.455284552845526,1.8018018018018018,0.7057065072332247,2.4157101865136297,0.7633587786259541,2.2058823529411766,13.0,8.2,14.0,10.0,14.0,0.05140981532012497,0.03235850926241687,0.05575578436482342,0.039505392486074355,0.054945054945054944,35.0,25.5,43.1,30.0,35.0
1951,5,30865.0,30774.9,30901.8,30783.0,30873.0,133.0,115.0,148.9,124.0,139.0,0.5203850066515376,0.44745859100472707,0.5819766737257348,0.4801920768307323,0.54838836943228,39.0,30.2,42.9,32.0,42.0,39.0,30.2,42.9,32.0,42.0,94.0,84.8,106.8,92.0,96.0,0.0,0.0,0.0,0.0,0.0,9.774436090225564,7.11578947368421,11.16848456718496,8.0,10.071942446043165,45.96774193548387,40.32565947242206,50.45112781954887,40.666666666666664,46.616541353383454,27.33812949640288,22.932330827067666,29.22258064516129,24.06015037593985,28.225806451612907,1.7543859649122806,1.3503759398496242,2.393246692968206,1.5037593984962405,2.158273381294964,13.0,8.4,14.0,12.0,14.0,0.050864699898270596,0.03271650357759799,0.05513154830310134,0.0468566966028895,0.05421523448088912,35.0,26.6,43.4,32.0,38.0
1952,5,31393.0,31248.8,31445.2,31310.0,31420.0,133.0,114.9,150.7,123.0,139.0,0.5122082723561581,0.43994475519701276,0.5801112985205851,0.4687142748266138,0.5411929605980377,41.0,31.3,44.7,34.0,42.0,41.0,31.3,44.7,34.0,42.0,92.0,83.6,106.0,89.0,97.0,0.0,0.0,0.0,0.0,0.0,9.352517985611511,7.105263157894736,10.489638730973777,7.894736842105263,9.774436090225564,46.616541353383454,40.81124574024991,49.71544715447155,41.007194244604314,47.15447154471545,27.33812949640288,23.721804511278194,28.816859221223794,24.06015037593985,27.64227642276423,1.9736842105263157,1.5288220551378444,2.4109492893490083,1.7543859649122806,2.158273381294964,13.0,8.4,13.0,12.0,13.0,0.049538907095495764,0.03219805810680344,0.05056019910214552,0.046139649338665024,0.05006547023030117,34.0,27.5,43.4,32.0,38.0
1953,5,31904.0,31749.5,31936.2,31862.0,31911.0,133.0,113.4,157.0,126.0,148.0,0.5031779661016949,0.42796550098001873,0.5945009199154041,0.47300848412042945,0.5678112411279493,40.0,32.4,46.5,36.0,42.0,40.0,32.4,46.5,36.0,42.0,93.0,81.0,110.5,90.0,106.0,0.0,0.0,0.0,0.0,0.0,9.774436090225564,7.25135623869801,10.299227799227799,8.227848101265822,10.135135135135135,46.616541353383454,41.851693465617515,48.95833333333333,42.567567567567565,47.61904761904761,26.351351351351347,24.064849624060148,28.41068917018284,24.107142857142858,27.77777777777778,1.89873417721519,1.531954887218045,2.3455598455598454,1.7857142857142856,2.027027027027027,13.0,8.5,14.8,13.0,13.0,0.04915863112119494,0.03207057859101858,0.05671187381239581,0.0488024626473459,0.04918280871670703,35.0,27.5,44.4,32.0,39.0
1954,5,32447.0,32259.3,32506.5,32379.0,32493.0,136.0,113.6,157.7,128.0,146.0,0.5064611030424906,0.42110122108832626,0.587978882962551,0.4731103308076141,0.5511721846804334,40.0,32.4,46.5,36.0,42.0,40.0,32.4,46.5,36.0,42.0,94.0,81.2,111.4,92.0,106.0,0.0,0.0,0.0,0.0,0.0,8.904109589041095,6.442610062893082,10.799632352941176,8.176100628930817,9.558823529411764,46.875,43.44016541742052,51.313025210084035,43.83561643835616,47.05882352941176,26.027397260273972,22.51575630252101,28.01690251572327,24.264705882352942,27.044025157232703,1.8867924528301887,1.5021008403361344,2.3148544520547945,1.7857142857142856,2.054794520547945,13.0,7.6,13.9,13.0,13.0,0.04841172308494396,0.028202698517369097,0.051479495723700294,0.04840811766896295,0.04907697534825777,36.0,25.8,42.5,33.0,38.0
1955,5,33021.0,32804.7,33059.9,32901.0,33032.0,135.0,117.3,162.4,129.0,148.0,0.4954310249917428,0.4286910325595214,0.5971245449085891,0.46958610898765973,0.5505542742355479,38.0,33.4,46.6,37.0,43.0,38.0,33.4,46.6,37.0,43.0,92.0,83.9,116.3,92.0,110.0,0.0,0.0,0.0,0.0,0.0,9.45945945945946,6.223717409587889,10.73040482342808,7.926829268292683,9.62962962962963,46.666666666666664,42.80652603823335,52.133787757284146,43.91891891891892,48.06201550387597,25.0,22.616858237547895,28.58338060124787,24.444444444444443,27.906976744186046,1.8292682926829267,1.5057471264367817,2.664990571967316,1.7241379310344827,2.3255813953488373,13.0,7.6,14.0,13.0,14.0,0.047743214954643946,0.02780639444688178,0.051967795889624066,0.04770817277698264,0.050962833533544465,36.0,26.7,46.0,33.0,37.0
1956,5,33593.0,33296.9,33648.7,33476.0,33601.0,136.0,117.2,164.7,128.0,153.0,0.4908684039558219,0.4218927466016424,0.5965414840065087,0.4587978063729883,0.5623552762156798,40.0,31.5,47.6,36.0,44.0,40.0,31.5,47.6,36.0,44.0,92.0,85.7,117.5,92.0,113.0,0.0,0.0,0.0,0.0,0.0,9.15032679738562,6.093685085168259,10.096507352941176,6.626506024096386,9.558823529411764,47.05882352941176,43.809355067328134,52.947198275862064,43.97590361445783,48.4375,26.143790849673206,21.823022312373222,28.294427710843376,24.264705882352942,28.125,2.34375,1.495943204868154,2.593905031892275,1.7241379310344827,2.4096385542168677,13.0,7.4,13.9,11.0,13.0,0.046596652209756624,0.02666859390667434,0.051003735432045456,0.03978156305377744,0.04692124449577709,36.0,25.8,46.3,33.0,40.0
1957,5,34086.0,33847.6,34171.8,33952.0,34170.0,136.0,120.9,164.8,129.0,154.0,0.4849176353134137,0.4298238439808019,0.5886135880803233,0.4570092464661495,0.5570829113008248,43.0,33.2,50.4,35.0,45.0,43.0,33.2,50.4,35.0,45.0,96.0,85.6,114.6,91.0,111.0,0.0,0.0,0.0,0.0,0.0,8.088235294117647,5.912650602409638,9.91392328601631,6.626506024096386,8.441558441558442,47.286821705426355,44.66593647316539,52.10294117647059,45.45454545454545,48.529411764705884,25.324675324675322,23.426470588235293,29.282712244326145,24.264705882352942,27.710843373493976,2.3255813953488373,1.4901960784313724,2.578626193084024,1.6666666666666667,2.4096385542168677,11.0,7.4,13.0,11.0,13.0,0.0392366684501516,0.026329298227176265,0.046929351110885836,0.03922127932682022,0.04605519538030963,38.0,28.5,45.3,33.0,39.0
1958,5,34722.0,34377.5,34752.9,34481.0,34752.0,134.0,124.8,163.1,132.0,155.0,0.4714325921756263,0.43640037434559714,0.5732226437381595,0.4610870476456616,0.5530973451327433,40.0,32.2,51.3,34.0,45.0,40.0,32.2,51.3,34.0,45.0,98.0,89.3,114.7,92.0,112.0,0.0,0.0,0.0,0.0,0.0,8.208955223880597,5.751376868607395,11.87683284457478,6.707317073170732,9.67741935483871,45.45454545454545,43.96380802517703,54.28021184400578,44.516129032258064,49.25373134328358,25.806451612903224,21.910207029369282,29.39578713968958,23.134328358208954,28.04878048780488,2.272727272727273,1.5045739046701974,2.5664830841856805,1.6129032258064515,2.4390243902439024,11.0,7.4,15.9,11.0,15.0,0.03869969040247678,0.025892378804386065,0.05565296015060606,0.038597845538439944,0.05352554952897516,39.0,27.4,45.4,31.0,40.0
1959,5,35305.0,34969.9,35324.8,35023.0,35314.0,130.0,125.3,164.6,128.0,161.0,0.4508566275924256,0.4321468460324622,0.5707460974319434,0.4416229643941485,0.5665622690642925,43.0,31.2,50.3,33.0,44.0,43.0,31.2,50.3,33.0,44.0,95.0,87.7,116.7,94.0,114.0,0.0,0.0,0.0,0.0,0.0,8.461538461538462,6.094545454545455,10.77542701863354,6.4,9.316770186335404,46.09375,44.95990965556183,54.44923076923077,45.962732919254655,47.69230769230769,26.08695652173913,21.104615384615386,29.446022727272727,23.846153846153847,27.27272727272727,2.34375,1.5446153846153847,2.975719932241671,1.6,2.484472049689441,11.0,8.2,14.9,10.0,14.0,0.03814940695012832,0.02829289582395849,0.05233702528714764,0.03461884650003462,0.048302511730609995,38.0,26.5,44.7,31.0,42.0
