,years_for_full,full_population_mean,target_agents_mean,total_affected_mean,m694v_homozigotes_mean,compound_mean,n_allele_mean,carrier_births_mean,affected_births_mean,normal_births_mean,full_population_ci_low,target_agents_ci_low,total_affected_ci_low,m694v_homozigotes_ci_low,compound_ci_low,n_allele_ci_low,carrier_births_ci_low,affected_births_ci_low,normal_births_ci_low,full_population_ci_high,target_agents_ci_high,total_affected_ci_high,m694v_homozigotes_ci_high,compound_ci_high,n_allele_ci_high,carrier_births_ci_high,affected_births_ci_high,normal_births_ci_high
0,1950,50296.64,42221.48,196.56,23.88,122.68,45.16,204.64,11.36,999.36,50278.307317653256,42191.450369288985,191.37052599711043,22.177618421152296,118.44785210088305,42.7630233709942,199.2748483065869,10.168423162360058,985.1580540525838,50314.97268234674,42251.50963071102,201.74947400288957,25.582381578847702,126.91214789911696,47.556976629005796,210.00515169341307,12.55157683763994,1013.5619459474162
1,1951,50975.88,42710.8,199.32,24.0,124.32,46.04,404.52,21.0,1950.8,50948.146791860534,42670.7609529251,194.35030156783463,22.31774595656106,120.05620030489236,43.82980123970716,398.1818719398653,19.564152282912055,1927.678645022404,51003.61320813946,42750.83904707491,204.28969843216535,25.68225404343894,128.58379969510764,48.25019876029284,410.8581280601347,22.435847717087945,1973.921354977596
2,1952,51832.48,43381.6,201.64,24.0,125.92,46.68,630.84,33.0,3036.64,51797.08655321523,43332.354699337564,196.48295232780097,22.490248585583263,121.61108959171038,44.20149752740356,621.9630678933166,30.895090184037965,3008.0585042724024,51867.873446784775,43430.84530066243,206.797047672199,25.509751414416737,130.22891040828964,49.15850247259644,639.7169321066834,35.10490981596204,3065.2214957275974
3,1953,52691.84,44059.4,203.8,24.56,127.44,46.8,860.44,45.2,4123.12,52649.04003210717,44001.136328208166,198.24359300746727,22.873640481194276,122.59244277049426,44.39683431005406,850.1392225329024,42.68487879682377,4091.6305559850075,52734.63996789282,44117.66367179184,209.35640699253275,26.246359518805722,132.28755722950572,49.20316568994593,870.7407774670977,47.71512120317624,4154.609444014992
4,1954,53568.76,44768.52,208.36,25.32,130.0,47.68,1093.16,58.04,5220.56,53511.683009643464,44698.201682647355,202.1775746377332,23.608615811689262,124.8490145926564,45.08785523038032,1077.9384493685216,55.22123196650262,5178.8026335389795,53625.83699035654,44838.83831735264,214.54242536226684,27.03138418831074,135.1509854073436,50.27214476961968,1108.3815506314786,60.85876803349738,5262.317366461021
5,1955,54479.72,45405.32,210.88,25.12,132.12,48.28,1328.84,70.32,6336.52,54418.570458425485,45331.36670220669,205.00509821018258,23.608892115036124,127.25630301382444,45.9211499750938,1312.6427295007254,67.01943138636183,6286.850836172665,54540.86954157452,45479.27329779331,216.7549017898174,26.63110788496388,136.98369698617557,50.638850024906205,1345.0372704992744,73.62056861363816,6386.1891638273355
6,1956,55336.8,46038.96,212.4,25.2,132.92,48.72,1566.48,81.6,7471.2,55271.28604101924,45960.138793936996,206.0377945123828,23.552356025511983,127.97328719518372,46.38845113568969,1549.589423989297,78.14165048999767,7418.055559889423,55402.31395898077,46117.781206063,218.76220548761722,26.847643974488015,137.86671280481627,51.051548864310305,1583.370576010703,85.05834951000232,7524.344440110576
7,1957,56234.0,46712.76,214.84,25.64,134.52,49.08,1806.92,94.8,8622.6,56161.71389972247,46622.19638498735,208.54082304635492,24.118083874409194,129.78328377037425,46.47504275658889,1787.3059844777601,90.93427574703006,8561.566007023408,56306.28610027753,46803.323615012654,221.1391769536451,27.161916125590807,139.25671622962577,51.684957243411105,1826.53401552224,98.66572425296994,8683.633992976593
8,1958,57162.44,47413.92,217.4,26.08,136.28,49.36,2056.4,109.2,9785.72,57081.916746444935,47314.022411536076,211.44641598138847,24.613619567324584,131.628670429508,47.00017302329175,2033.6645632253671,104.67498861879885,9717.24073771737,57242.96325355507,47513.81758846392,223.35358401861154,27.546380432675413,140.931329570492,51.71982697670825,2079.135436774633,113.72501138120116,9854.19926228263
9,1959,58072.88,48087.52,220.32,26.28,137.56,50.88,2291.4,121.88,10938.56,57985.106910689894,47984.58235497493,214.26646561861034,24.742846752380665,132.96328112381596,48.336225041400084,2267.6327605866113,117.2110841686747,10866.46839700936,58160.6530893101,48190.45764502506,226.37353438138965,27.817153247619338,142.15671887618404,53.42377495859992,2315.167239413389,126.54891583132529,11010.65160299064
