Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1950;50728.9 ± 16.8;42232.7 ± 32.5;208.0 ± 4.1;19.0 ± 1.2;95.7 ± 3.1;49.9 ± 2.0;3.0 ± 0.6;255338 ± 66127;12660 ± 3272;1396007 ± 360886
1951;51390.2 ± 21.0;42717.3 ± 32.0;211.4 ± 3.8;19.2 ± 1.1;98.6 ± 3.0;50.2 ± 2.0;3.1 ± 0.6;255967 ± 66089;12691 ± 3270;1399448 ± 360678
1952;52240.2 ± 25.7;43389.6 ± 33.4;215.2 ± 3.8;19.6 ± 1.3;101.2 ± 3.1;51.1 ± 1.9;3.2 ± 0.6;256556 ± 66072;12720 ± 3269;1402614 ± 360582
1953;53102.4 ± 36.7;44071.5 ± 43.5;218.6 ± 4.3;20.0 ± 1.3;104.2 ± 3.6;51.3 ± 1.9;3.2 ± 0.7;257251 ± 66025;12758 ± 3267;1406394 ± 360322
1954;53997.1 ± 40.8;44788.7 ± 46.0;223.5 ± 4.5;20.7 ± 1.3;107.5 ± 3.8;52.1 ± 2.0;3.4 ± 0.7;257950 ± 65977;12794 ± 3264;1410220 ± 360058
1955;54910.5 ± 43.5;45435.3 ± 48.9;229.2 ± 4.8;21.4 ± 1.4;111.3 ± 4.2;53.4 ± 2.2;3.4 ± 0.7;258646 ± 65935;12827 ± 3261;1413976 ± 359817
1956;55833.8 ± 45.3;46093.2 ± 49.3;232.4 ± 4.5;21.6 ± 1.4;114.2 ± 4.3;53.5 ± 2.2;3.4 ± 0.8;259413 ± 65877;12866 ± 3258;1418124 ± 359502
1957;56783.1 ± 47.9;46772.1 ± 52.9;235.2 ± 4.8;22.2 ± 1.3;116.4 ± 4.6;53.8 ± 2.3;3.3 ± 0.8;260148 ± 65819;12901 ± 3255;1422110 ± 359210
1958;57745.6 ± 49.3;47471.6 ± 56.2;239.0 ± 4.6;22.8 ± 1.3;118.9 ± 4.5;54.6 ± 2.3;3.4 ± 0.8;260907 ± 65780;12940 ± 3253;1426241 ± 358994
1959;58679.5 ± 54.0;48126.3 ± 60.6;242.8 ± 5.3;23.1 ± 1.4;121.7 ± 4.7;55.3 ± 2.4;3.5 ± 0.8;261684 ± 65708;12978 ± 3249;1430420 ± 358597
1960;59487.8 ± 56.6;48658.4 ± 62.1;245.8 ± 5.6;23.2 ± 1.4;123.7 ± 5.1;56.3 ± 2.4;3.6 ± 0.8;262400 ± 65649;13014 ± 3246;1434290 ± 358279
1961;60242.1 ± 60.2;49166.8 ± 69.0;248.4 ± 6.2;23.5 ± 1.5;125.5 ± 5.5;57.1 ± 2.2;3.5 ± 0.7;263157 ± 65589;13051 ± 3243;1438373 ± 357956
1962;60986.5 ± 66.0;49660.6 ± 71.9;253.6 ± 6.2;23.9 ± 1.6;128.8 ± 5.1;58.4 ± 2.2;3.7 ± 0.8;263892 ± 65548;13087 ± 3241;1442353 ± 357735
1963;61721.0 ± 70.3;50126.8 ± 73.9;256.3 ± 6.3;24.5 ± 1.6;130.5 ± 5.3;58.8 ± 2.7;3.9 ± 0.9;264689 ± 65494;13126 ± 3237;1446678 ± 357432
1964;62461.4 ± 73.0;50587.2 ± 77.6;260.0 ± 6.4;24.9 ± 1.6;133.3 ± 5.3;59.3 ± 2.8;4.0 ± 0.8;265427 ± 65443;13164 ± 3234;1450694 ± 357155
1965;63205.8 ± 71.5;51040.9 ± 76.8;263.3 ± 6.6;25.5 ± 1.7;135.7 ± 5.4;59.6 ± 2.8;4.1 ± 0.9;266223 ± 65367;13205 ± 3231;1455005 ± 356739
1966;63954.7 ± 80.3;51490.2 ± 83.0;267.2 ± 6.9;26.1 ± 1.8;138.0 ± 5.5;60.8 ± 2.8;4.1 ± 0.8;267053 ± 65304;13247 ± 3227;1459520 ± 356397
1967;64718.2 ± 83.4;51949.2 ± 86.6;270.0 ± 7.2;26.8 ± 1.9;139.3 ± 5.5;61.5 ± 2.9;4.4 ± 0.8;267801 ± 65248;13285 ± 3225;1463571 ± 356092
1968;65473.1 ± 86.8;52393.8 ± 90.8;273.8 ± 6.8;27.2 ± 1.9;141.8 ± 5.3;62.3 ± 2.9;4.6 ± 0.8;268612 ± 65179;13326 ± 3221;1468003 ± 355717
1969;66229.4 ± 86.1;52841.5 ± 92.4;277.2 ± 6.8;27.2 ± 1.9;143.7 ± 5.4;64.0 ± 2.9;4.5 ± 0.8;269405 ± 65114;13368 ± 3218;1472292 ± 355379
1970;66963.3 ± 87.4;53173.1 ± 89.5;280.2 ± 6.7;27.3 ± 1.9;145.5 ± 5.6;64.8 ± 2.8;4.7 ± 0.8;270222 ± 65033;13409 ± 3214;1476732 ± 354945
1971;67700.7 ± 97.1;53542.2 ± 95.4;283.8 ± 7.0;27.8 ± 2.0;147.7 ± 5.8;65.6 ± 3.1;4.8 ± 0.9;271079 ± 64950;13451 ± 3210;1481427 ± 354485
1972;68423.3 ± 98.8;53914.6 ± 97.4;285.7 ± 7.0;28.1 ± 2.0;148.8 ± 5.9;66.3 ± 3.2;4.8 ± 0.9;271873 ± 64872;13491 ± 3206;1485777 ± 354057
1973;69142.3 ± 103.4;54277.3 ± 97.5;288.6 ± 7.3;28.5 ± 2.1;150.9 ± 6.0;66.8 ± 3.4;4.9 ± 0.9;272690 ± 64778;13531 ± 3201;1490210 ± 353564
1974;69842.7 ± 101.8;54637.5 ± 93.8;291.1 ± 7.6;28.8 ± 2.4;152.5 ± 5.9;67.4 ± 3.4;5.0 ± 0.8;273594 ± 64679;13576 ± 3196;1495148 ± 353034
1975;70554.0 ± 103.8;55010.5 ± 96.3;294.1 ± 8.0;28.6 ± 2.3;154.1 ± 6.2;68.9 ± 3.5;4.9 ± 0.8;274428 ± 64590;13620 ± 3191;1499695 ± 352575
1976;71235.3 ± 108.5;55374.0 ± 99.8;295.8 ± 7.8;29.0 ± 2.4;155.2 ± 6.0;69.3 ± 3.5;5.0 ± 0.8;275290 ± 64493;13663 ± 3187;1504385 ± 352064
1977;71919.5 ± 113.4;55749.6 ± 100.2;298.3 ± 7.8;29.5 ± 2.3;156.6 ± 5.9;69.9 ± 3.8;4.9 ± 0.8;276144 ± 64395;13706 ± 3182;1508996 ± 351515
1978;72586.3 ± 117.0;56093.6 ± 104.6;299.9 ± 7.7;29.3 ± 2.4;158.3 ± 5.8;70.3 ± 3.7;5.0 ± 0.8;277004 ± 64300;13748 ± 3177;1513678 ± 351005
1979;73235.3 ± 117.8;56451.9 ± 105.1;302.3 ± 7.3;29.6 ± 2.4;160.2 ± 6.1;70.4 ± 3.6;5.1 ± 0.8;277866 ± 64201;13792 ± 3172;1518394 ± 350485
1980;73873.1 ± 122.1;56793.3 ± 110.6;305.0 ± 7.7;30.1 ± 2.6;162.4 ± 6.1;70.7 ± 3.7;5.3 ± 0.8;278732 ± 64105;13834 ± 3168;1523128 ± 349977
1981;74485.1 ± 123.8;57167.8 ± 111.7;307.9 ± 7.6;30.6 ± 2.7;163.4 ± 6.1;72.1 ± 3.8;5.3 ± 0.7;279634 ± 64000;13878 ± 3162;1528065 ± 349417
