Year;Population (mean ± CI);Target agents (mean ± CI);Affected people (mean ± CI);M694V homozygotes (mean ± CI);Compound hetero (mean ± CI);N allele (mean ± CI);Other homo (mean ± CI);Carrier births (mean ± CI);Affected births (mean ± CI);Healthy births (mean ± CI)
1950;5077.3 ± 4.8;4258.7 ± 15.8;16.7 ± 2.0;1.7 ± 0.5;7.3 ± 1.6;4.7 ± 0.4;0.0 ± 0.0;7643 ± 41;382 ± 2;43218 ± 213
1951;5171.7 ± 8.0;4331.7 ± 17.6;17.3 ± 2.1;1.7 ± 0.5;7.3 ± 1.6;5.3 ± 0.2;0.0 ± 0.0;7701 ± 50;385 ± 3;43499 ± 239
1952;5263.3 ± 10.2;4392.3 ± 18.7;17.7 ± 2.0;1.3 ± 0.4;8.0 ± 1.8;5.3 ± 0.2;0.0 ± 0.0;7760 ± 56;390 ± 2;43840 ± 279
1953;5361.0 ± 12.0;4469.7 ± 20.5;18.7 ± 2.4;1.3 ± 0.4;8.7 ± 2.2;5.7 ± 0.2;0.0 ± 0.0;7831 ± 58;393 ± 3;44192 ± 292
1954;5456.0 ± 12.2;4549.7 ± 18.6;18.7 ± 2.0;1.0 ± 0.4;8.7 ± 2.2;5.7 ± 0.4;0.3 ± 0.2;7908 ± 75;397 ± 4;44595 ± 404
1955;5547.0 ± 9.7;4615.7 ± 16.7;19.0 ± 2.2;0.7 ± 0.4;9.7 ± 2.4;5.7 ± 0.4;0.3 ± 0.2;7954 ± 69;399 ± 4;44879 ± 390
1956;5639.7 ± 17.0;4687.7 ± 20.2;19.3 ± 2.1;1.0 ± 0.6;9.7 ± 2.4;5.7 ± 0.4;0.3 ± 0.2;8011 ± 61;403 ± 4;45173 ± 367
1957;5736.7 ± 20.4;4751.0 ± 24.4;18.7 ± 2.3;1.0 ± 0.6;9.3 ± 2.8;5.7 ± 0.4;0.3 ± 0.2;8094 ± 69;408 ± 5;45628 ± 407
1958;5838.0 ± 20.0;4818.3 ± 27.7;19.3 ± 2.1;1.0 ± 0.6;9.3 ± 2.8;6.0 ± 0.4;0.7 ± 0.4;8158 ± 69;412 ± 5;46025 ± 412
1959;5925.7 ± 18.9;4877.7 ± 25.5;19.0 ± 1.6;1.0 ± 0.6;9.0 ± 2.2;6.0 ± 0.4;0.7 ± 0.4;8220 ± 74;417 ± 6;46371 ± 433
1960;6019.3 ± 16.2;4943.7 ± 24.6;18.3 ± 1.2;1.0 ± 0.6;8.3 ± 1.8;6.0 ± 0.4;0.7 ± 0.4;8268 ± 76;421 ± 6;46661 ± 449
1961;6092.0 ± 17.7;4993.7 ± 27.7;18.0 ± 1.3;1.0 ± 0.6;8.0 ± 1.6;6.0 ± 0.7;0.7 ± 0.4;8332 ± 89;424 ± 6;46994 ± 500
1962;6167.7 ± 26.7;5032.3 ± 32.9;19.7 ± 1.7;1.3 ± 0.8;8.7 ± 2.3;6.7 ± 0.4;0.7 ± 0.4;8389 ± 96;428 ± 7;47329 ± 532
1963;6238.7 ± 21.0;5076.3 ± 24.7;19.7 ± 1.7;1.0 ± 0.6;9.0 ± 2.2;6.7 ± 0.4;0.7 ± 0.4;8450 ± 99;433 ± 6;47650 ± 532
1964;6317.3 ± 21.7;5120.3 ± 23.7;19.3 ± 1.8;1.0 ± 0.6;9.0 ± 2.2;6.3 ± 0.2;0.7 ± 0.4;8511 ± 102;438 ± 6;48002 ± 544
1965;6396.3 ± 20.5;5167.3 ± 23.8;19.7 ± 1.7;1.0 ± 0.6;9.0 ± 2.2;6.7 ± 0.4;0.7 ± 0.4;8559 ± 101;438 ± 6;48251 ± 527
1966;6461.7 ± 23.6;5199.0 ± 24.8;20.0 ± 2.2;1.3 ± 0.5;8.7 ± 2.0;6.7 ± 0.5;1.0 ± 0.4;8627 ± 104;441 ± 5;48596 ± 530
1967;6540.0 ± 30.0;5247.0 ± 30.4;20.7 ± 2.2;1.7 ± 0.5;9.0 ± 2.0;6.7 ± 0.5;1.0 ± 0.4;8688 ± 108;447 ± 5;48914 ± 555
1968;6614.3 ± 32.9;5284.7 ± 29.9;21.3 ± 2.0;1.7 ± 0.5;10.0 ± 2.0;6.3 ± 0.5;1.0 ± 0.4;8756 ± 117;450 ± 6;49287 ± 583
1969;6689.7 ± 35.8;5327.3 ± 35.4;21.7 ± 2.0;1.7 ± 0.5;10.3 ± 1.8;6.3 ± 0.7;1.0 ± 0.4;8813 ± 115;452 ± 6;49568 ± 567
1970;6761.7 ± 35.3;5352.3 ± 35.7;22.0 ± 2.8;2.0 ± 0.6;10.7 ± 2.2;6.0 ± 0.9;1.0 ± 0.4;8878 ± 112;457 ± 6;49915 ± 569
1971;6831.0 ± 34.8;5381.7 ± 32.3;23.0 ± 3.1;2.0 ± 0.6;11.3 ± 2.2;6.3 ± 1.0;1.0 ± 0.4;8943 ± 118;460 ± 5;50267 ± 601
1972;6912.3 ± 31.5;5427.0 ± 25.7;24.3 ± 2.7;2.0 ± 0.6;11.7 ± 2.0;7.3 ± 1.0;1.0 ± 0.4;9012 ± 114;461 ± 5;50578 ± 590
1973;6978.7 ± 35.1;5455.0 ± 29.7;25.3 ± 2.7;2.3 ± 0.7;11.7 ± 1.8;8.0 ± 0.9;1.0 ± 0.4;9072 ± 120;465 ± 5;50923 ± 613
1974;7047.7 ± 32.0;5482.0 ± 28.8;26.0 ± 2.8;2.3 ± 0.7;12.0 ± 2.0;8.3 ± 0.7;1.0 ± 0.4;9122 ± 119;467 ± 5;51124 ± 615
1975;7119.3 ± 38.3;5509.3 ± 35.3;26.3 ± 2.7;2.3 ± 0.7;12.3 ± 1.8;8.3 ± 0.7;1.0 ± 0.4;9172 ± 124;471 ± 6;51400 ± 653
