,years,full_population,target_agents,total_affected,m694v_homozigotes,compound,n_allele,carrier_births,affected_births,normal_births
0,1950,50247,42167,183,22,111,46,183,9,1006
1,1975,69648,54677,264,26,167,63,5633,290,27686
2,2000,80258,59219,292,33,189,65,10598,521,52426
3,2012,77919,52625,274,33,170,66,12158,607,60288
4,2013,77758,52239,267,33,165,65,12315,613,61045
5,2014,77646,52004,270,35,166,65,12470,622,61865
6,2015,77497,51727,266,36,164,62,12623,632,62614
7,2016,77247,51381,264,38,160,62,12778,639,63367
8,2017,76989,50955,259,37,157,61,12923,644,64077
9,2018,76802,50637,253,35,155,59,13071,650,64769
10,2019,76575,50254,245,34,149,58,13225,658,65430
11,2020,76000,49805,244,35,149,57,13369,664,66161
12,2021,75420,49386,245,33,152,57,13505,674,66820
13,2022,75118,48951,242,32,150,57,13633,678,67517
14,2023,74915,48630,241,30,151,58,13773,681,68262
15,2024,74555,48227,238,29,146,61,13904,689,68954
16,1950,50256,42157,204,30,117,46,200,9,974
17,1975,69837,55059,288,46,172,65,5956,298,27786
18,2000,81061,60095,314,41,186,77,11105,587,52734
19,2012,78718,53358,284,34,178,61,12733,661,60468
20,2013,78571,52931,279,34,173,62,12884,669,61220
21,2014,78483,52655,283,34,174,65,13046,676,62033
22,2015,78380,52413,282,35,175,62,13199,687,62831
23,2016,78145,52058,278,35,174,59,13353,692,63595
24,2017,77910,51654,279,38,171,60,13485,702,64320
25,2018,77801,51287,278,37,174,57,13643,710,65078
26,2019,77585,50871,280,36,178,56,13777,720,65773
27,2020,76989,50489,280,35,179,56,13927,730,66522
28,2021,76432,50002,279,32,179,58,14091,737,67144
29,2022,76160,49589,282,30,179,63,14243,748,67838
30,2023,75950,49270,276,31,177,59,14374,762,68554
31,2024,75453,48739,279,31,177,62,14496,775,69185
32,1950,50343,42302,178,21,106,45,204,5,1067
33,1975,70152,55148,261,30,160,62,5696,320,28136
34,2000,81162,59991,306,45,181,73,10827,568,53093
35,2012,78771,53273,254,32,144,71,12438,639,60925
36,2013,78700,52880,248,30,143,68,12597,652,61731
37,2014,78615,52617,247,32,143,66,12777,660,62576
38,2015,78407,52258,247,32,142,67,12927,662,63326
39,2016,78186,51887,246,33,142,65,13045,669,64106
40,2017,77927,51553,248,34,143,65,13191,675,64857
41,2018,77643,51236,256,36,145,68,13323,680,65557
42,2019,77352,50857,255,37,148,63,13457,689,66272
43,2020,76721,50406,260,38,151,64,13591,700,66971
44,2021,76229,49983,251,36,145,64,13723,705,67672
45,2022,75954,49612,248,34,141,67,13871,713,68385
46,2023,75845,49358,244,32,139,67,14038,716,69130
47,2024,75407,48938,244,33,138,67,14176,720,69775
48,1950,50347,42241,207,27,126,51,206,11,1006
49,1975,70226,55481,256,37,144,71,5814,311,28095
50,2000,81621,60434,317,40,192,78,10875,564,53289
51,2012,79039,53544,294,43,176,70,12422,635,61105
52,2013,78945,53137,302,44,178,76,12570,643,61915
53,2014,78796,52893,296,42,177,73,12745,651,62738
54,2015,78659,52511,287,39,175,69,12892,660,63525
